"GenusSpecies","Species","Genus","Family","SubOrder","hwl","div_brd","div_mam","lat","lon","Temp","Prec","cover"
"1","Acanthagrion_apicale","apicale","Acanthagrion","Coenagrionidae","Zygoptera",18.5,541.542538313564,182.432010220241,-1.05335181818182,-65.6641818181818,282.090909090909,7481.54545454545,56.8181818181818
"2","Acanthagrion_obsoletum","obsoletum","Acanthagrion","Coenagrionidae","Zygoptera",17,564.563259892444,169.965198036857,-7.467025,-74.63215,276,6294,72.25
"3","Acanthagrion_quadratum","quadratum","Acanthagrion","Coenagrionidae","Zygoptera",17,320.108785301137,96.3539757829372,20.6250414634146,-95.4851425609756,294.426829268293,6153.64634146341,37.6463414634146
"4","Aciagrion_brosseti","brosseti","Aciagrion","Coenagrionidae","Zygoptera",16,294.119384555993,141.994042559197,0.579146,25.260758,300,4206,64
"5","Aciagrion_dondoense","dondoense","Aciagrion","Coenagrionidae","Zygoptera",20.5,134.999763720232,19,-4.979,39.807,293,3373,22
"6","Aciagrion_gracile","gracile","Aciagrion","Coenagrionidae","Zygoptera",22.5,439.62824474789,125.18857286821,-16.0467,35.6717,293,3373,51
"7","Aciagrion_hisopa","hisopa","Aciagrion","Coenagrionidae","Zygoptera",16.5,354.28469388231,94.4790479818813,16.73914,108.864214,272,8621,52.8
"8","Aciagrion_migratum","migratum","Aciagrion","Coenagrionidae","Zygoptera",18.5,177.509312190767,27.1787396958776,34.21093,132.868207894737,214.736842105263,3784.21052631579,6.63157894736842
"9","Aciagrion_occidentale","occidentale","Aciagrion","Coenagrionidae","Zygoptera",15.5,263.037800256298,56.0647794315005,6.8786,80.01955,293,7212,19.5
"10","Aciagrion_pallidum","pallidum","Aciagrion","Coenagrionidae","Zygoptera",18,389.238659540597,96.9547328691252,16.0622233333333,91.57889,290.333333333333,10004.6666666667,38.6666666666667
"11","Aciagrion_pinheyi","pinheyi","Aciagrion","Coenagrionidae","Zygoptera",21,427.040065864863,104.92068658131,-26.88333,32.2,293,3373,42
"12","Acisoma_panorpoides","panorpoides","Acisoma","Libellulidae","Anisoptera",22,330.805171957209,99.3909812110869,1.64326716666667,45.2024755,295.316666666667,5340.73333333333,23.1666666666667
"13","Aeolagrion_inca","inca","Aeolagrion","Coenagrionidae","Zygoptera",16,576.822003322913,198.895143669581,-12.12,-70.97,276,6294,80
"14","Aeschnophlebia_longistigma","longistigma","Aeschnophlebia","Aeshnidae","Anisoptera",43.5,193.82791032212,33.2620736625571,39.8125,140.069,211,3713,0
"15","Aeschnosoma_forcipula","forcipula","Aeschnosoma","Corduliidae","Anisoptera",35.5,370.90738294656,126.711613711554,-6.44917,-48.47361,281,3895,33
"16","Aeshna_affinis","affinis","Aeshna","Aeshnidae","Anisoptera",39.5,150.817349440408,54.5400471191372,48.635660778032,8.44322187643021,234.439359267735,2876.27231121281,9.31807780320366
"17","Aeshna_caerulea","caerulea","Aeshna","Aeshnidae","Anisoptera",39,116.056377381458,35.4052277411959,60.2974628979958,13.742865214,133.978,2899.476,5.564
"18","Aeshna_constricta","constricta","Aeshna","Aeshnidae","Anisoptera",43.5,160.96770050381,46.4293157985246,42.7410911764706,-82.1086980748663,220.021390374332,2177.33689839572,19.1016042780749
"19","Aeshna_crenata","crenata","Aeshna","Aeshnidae","Anisoptera",52,183.724452354853,50,53.32653,78.78261,147,3335.5,7
"20","Aeshna_cyanea","cyanea","Aeshna","Aeshnidae","Anisoptera",48,146.66490231527,44.8081590801624,52.720180656,8.767055016,230.752,2831.032,10.186
"21","Aeshna_eremita","eremita","Aeshna","Aeshnidae","Anisoptera",46.5,133.198107823721,39.8762001525635,52.0241548523207,-94.0121032489452,185.278481012658,2063,10.4894514767932
"22","Aeshna_grandis","grandis","Aeshna","Aeshnidae","Anisoptera",45,146.487194395283,37.7057604868964,55.791642862,10.53488711,214.896,2860.568,8.812
"23","Aeshna_interrupta","interrupta","Aeshna","Aeshnidae","Anisoptera",43.5,149.283507337369,48.4764693188167,49.217762484784,-105.074432569964,190.880813953488,2429.18895348837,10.2703488372093
"24","Aeshna_juncea","juncea","Aeshna","Aeshnidae","Anisoptera",44,133.047575235796,38.2672946970176,56.1590944519985,6.222810426,201.936,2784.718,9.854
"25","Aeshna_minuscula","minuscula","Aeshna","Aeshnidae","Anisoptera",37.5,308.359261619013,82.3773118036988,-29.7546882,24.4237836,244.92,3365.56,26.2
"26","Aeshna_mixta","mixta","Aeshna","Aeshnidae","Anisoptera",39.5,151.41015513818,41.5970866838059,52.503078274,7.534940296,234.212,2804.73,6.784
"27","Aeshna_palmata","palmata","Aeshna","Aeshnidae","Anisoptera",43.5,171.268065222445,57.6172260005345,44.3056249681529,-118.982858152866,200.133757961783,3635.73248407643,6.46496815286624
"28","Aeshna_persephone","persephone","Aeshna","Aeshnidae","Anisoptera",50.5,222.287665614051,81.4539756168175,31.876478,-109.75632,239,1712,8
"29","Aeshna_septentrionalis","septentrionalis","Aeshna","Aeshnidae","Anisoptera",37.5,106.725166704889,34.7181630335108,63.7237846666667,-144.753716,61.8666666666667,1994.46666666667,0.133333333333333
"30","Aeshna_serrata","serrata","Aeshna","Aeshnidae","Anisoptera",50.5,150.934765101502,33.5409613356395,58.6883915730337,17.3206045505618,209.988764044944,2904.12359550562,8.5561797752809
"31","Aeshna_sitchensis","sitchensis","Aeshna","Aeshnidae","Anisoptera",38.5,121.025271863459,37.8361079661673,55.2680978787879,-113.786759242424,150.409090909091,2093.83333333333,4.06060606060606
"32","Aeshna_subarctica","subarctica","Aeshna","Aeshnidae","Anisoptera",42.5,137.482519455158,39.1528197057223,56.926913236,7.446498638,199.616,2874.574,10.146
"33","Aeshna_tuberculifera","tuberculifera","Aeshna","Aeshnidae","Anisoptera",47,160.275226215739,48.3867681058194,43.3106477,-80.5267181,217.42,2254.63,43.12
"34","Aeshna_umbrosa","umbrosa","Aeshna","Aeshnidae","Anisoptera",44,156.857613569931,48.2557946361678,43.4252399060758,-84.0935225793401,216.8,2392.922,24.344
"35","Aeshna_walkeri","walkeri","Aeshna","Aeshnidae","Anisoptera",45.5,198.441816496492,55.2658543929285,37.6025017948718,-120.879921538462,196.769230769231,4041.61538461538,5.25641025641026
"36","Aeshna_verticalis","verticalis","Aeshna","Aeshnidae","Anisoptera",44,161.049753130014,45.9322304955921,42.0592623376623,-77.1014176623377,218.142857142857,2190.18181818182,25.6753246753247
"37","Aeshna_viridis","viridis","Aeshna","Aeshnidae","Anisoptera",43,149.161861626733,36.9098552525425,57.6072021644888,14.7072278981723,219.018276762402,2890.44125326371,8.911227154047
"38","Aethriamanta_aethra","aethra","Aethriamanta","Libellulidae","Anisoptera",24,483.61139582329,120.597034958231,20.53,96.9217,289,11401,0
"39","Aethriamanta_brevipennis","brevipennis","Aethriamanta","Libellulidae","Anisoptera",24.5,342.587647165557,86.143368646086,11.91282,108.850235,289,11401,0
"40","Aethriamanta_rezia","rezia","Aethriamanta","Libellulidae","Anisoptera",21.5,332.097550376113,127.796930424226,-2.02904954545455,21.2757459090909,298.272727272727,4025.5,43.6818181818182
"41","Africallagma_elongatum","elongatum","Africallagma","Coenagrionidae","Zygoptera",17,409.059922397348,128.676051299187,-8.9137425,29.9040825,278.25,3196.75,43.25
"42","Africallagma_glaucum","glaucum","Africallagma","Coenagrionidae","Zygoptera",16,328.687350921447,87.4653826677804,-29.8142023529412,26.190975,243.764705882353,3395.14705882353,24.8823529411765
"43","Africallagma_pseudelongatum","pseudelongatum","Africallagma","Coenagrionidae","Zygoptera",18.5,600.408756887256,180.827386031393,-0.9767,29.8433,283,3357,80
"44","Africallagma_sapphirinum","sapphirinum","Africallagma","Coenagrionidae","Zygoptera",14,263.697698893749,69.7375583051343,-28.875,26.125,283,3357,0
